loss = 0.00821149227695427,	 val loss = 0.00788910015613514
loss = 0.008182378686175107,	 val loss = 0.008720410159394525
loss = 0.008230730211717784,	 val loss = 0.007699585979750979
loss = 0.00818820943206019,	 val loss = 0.007459126981073263
loss = 0.008160785467762322,	 val loss = 0.008092723894356724
loss = 0.008192086740292407,	 val loss = 0.0075817802932391775
loss = 0.00816972762231256,	 val loss = 0.0077138395988206356
loss = 0.008173357047294324,	 val loss = 0.0076173942439746005
loss = 0.00816467901830526,	 val loss = 0.007703684486132361
loss = 0.008141859115571005,	 val loss = 0.009160702342788107
loss = 0.008168121479831784,	 val loss = 0.007754258079910285
loss = 0.008171939402808649,	 val loss = 0.007422521190620698
loss = 0.008171722922013864,	 val loss = 0.008196119508381852
loss = 0.008194384859879974,	 val loss = 0.007610425230807891
loss = 0.008202928831696061,	 val loss = 0.007789628973112214
loss = 0.008177020848243764,	 val loss = 0.007261135920159678
loss = 0.008120197913607267,	 val loss = 0.008364766390141273
loss = 0.00812625744843532,	 val loss = 0.007259776156867283
loss = 0.008201415943350861,	 val loss = 0.008178023952545504
loss = 0.008205736865371243,	 val loss = 0.007892535952480535
loss = 0.00819248701413992,	 val loss = 0.008916143560601452
loss = 0.008135297217887739,	 val loss = 0.007668227533861391
loss = 0.008120652697366563,	 val loss = 0.006932965713277915
loss = 0.008138426540269184,	 val loss = 0.007223904494425085
loss = 0.008134293739137925,	 val loss = 0.007047309368425843
loss = 0.00819026570852974,	 val loss = 0.007553994506203508
loss = 0.008173726592116601,	 val loss = 0.00793891621796865
loss = 0.00815582573895227,	 val loss = 0.007320182139095466
loss = 0.008109817020491744,	 val loss = 0.007543044714600554
loss = 0.008186031891669096,	 val loss = 0.007638357867456161
loss = 0.00823730754252156,	 val loss = 0.00832566301653207
loss = 0.008184998133480677,	 val loss = 0.00762577301558674
loss = 0.008183097417369865,	 val loss = 0.007726185896780154
loss = 0.008164782091341903,	 val loss = 0.0077244378911377155
loss = 0.00821114139632491,	 val loss = 0.007053596118466452
loss = 0.008241728035495473,	 val loss = 0.0073135215923721755
loss = 0.008252202901047539,	 val loss = 0.00781997250831589
loss = 0.008187194391069765,	 val loss = 0.0075400277616964936
loss = 0.008171687293638036,	 val loss = 0.007217224759724513
loss = 0.008172879444246996,	 val loss = 0.007873269919573501
loss = 0.008150355618503817,	 val loss = 0.007228908306915199
loss = 0.008168426589089516,	 val loss = 0.008519050655785036
